Sentences,Annotation,
????? ??? ???? ?? ???? ?? ???? ??? ??? ??,1,
??????- ????? ?? ??????? ?? ??? ??? ???? ??? ?? ? ????,2,
?????- ??? ?? ???? ????? ??,2,
????? ??? ? ????,2,
?????? ???? ?????? ?? ???? ??? ??? ?????? ?? ?????? ????,2,
"????? ?? ??????? ???? ???? ?? ??????? ?? ????? ???? ?? ??? ???? ??? ? ?????, ????? ???? ????? ?? ????? ?????",4,
??? ????? ?? ??? ?? ??? ?? ??? ???? ?? ?? ?? ????? ?? ?? ????? ?? ?????? ?? ??????? ????? ? ??,1,
??? ?? ?? ????? ????????-????? ?? ?? ??? ??????? ?? ??????,1,
?????? ??? ????? ?? ??? ???,4,
???? ??? ?? ???? ???? ?? ????,4,
????? ?? ???? ????? ?? ???? ?????,4,
???? ???? ????? ???? ????? ?? ???,4,
?? ?? ????? ?? ?????? ??,4,
3 ?????? ??? ???? ??? ???? ?? ???,4,
???????? ? ???,4,
"?????? ?? ???? ??? ?? ?????? ?????? ???? ??? ?? ??? ???? ?? ???? ???? ?? ?? ????, ?? ????? ?????? ???? ? ??? ?? ?????? ??????",2,
?? ?? ???-??? ??? ???-??? ???,4,
????? ??? ????,1,
???? ?????? ?? ??? ????? ??????? ?? ????? ?? ??? ?? ??-?? ????? ?? ?????,1,
????? ???? ?? ???? ?? ??? ???? ?????????????? ???? ?????? ?????? ???,1,
???? ???? ?? ?? ??? ?? ?? ???? ??? ????,1,
???? ??????? ?? ????? ?? ???? ?? ????,1,
????? ??? ???????? ????? ???,1,
?? ?? ????? ?? ?? ???? ??? ???,1,
???? ?? ???? ?? ????? ?????? ???,1,
???? ???? ???? ??? ?? ????? ??????? ?? ??????,1,
???? ?? ?????? ???? ???? ???? ????,1,
??????? ??? ?? ?? ???????? ?? ????? ?? ???? ???? ???,4,
???? ???? ?????? ???? ?? ? ??,1,
????? ?? ????? ????? ?? ??? ????? ?? ????,1,
???? ?? ???? ??? ?? ???? ??? ???? ???,1,
"????? ????, ???? ?? ??? ?? ?? ???? ?? ??? ?? ???? ???? ????????? ?? ????????? ??? ? ??? ?? ???? ???? ?? ???? ???? ??? ??? ???",1,
??? ???? ???-??? ?? ???? ??? ?? ???? ???? ?? ????? ???? ?? ??? ?? ???,1,
?? ??? ????? ?? ??????,4,
"??? ???? ???? ?? ???? ???? ?? ????? ??? ???, ????? ????? ?? ?????? ??? ?????? ??????? ?? ????, ?? ???? ????? ????",1,
?? ????? ?? ?????,1,
"?? ????? ???, ????? ??? ??? ??? ?? ???-?????? ?????? ?????? ???, ?????? ?????? ???? ???? ?? ????",1,
???? ?? ?? ????? ????? ?? ???? ????? ?? ????? ????? ???,4,
"???? ????? ???? ??? ?????? ?? ??? '????????, ????? ???' ??????? ???? ???",4,
??? ??? ?? ?????? ?? ???? ??????,4,
????? ?? ???? ?? ???? ??,4,
????? ???? ??? ?? ????? ??? ????? ?? ?? ????? ?????? ???? ?????? ???? ???? ?? ? ???? ??? ?? ???? ?? ???? ??? ????? ? ???? ??,1,
????? ?? ?? ????? ??? ?? ?? ????? ?????? ??,1,
???? ??? ???? ???? ??? ?? ????? ?? ???? ???? ?? ???-???? ???? ???? ??,1,
???? ???? ?? ??? ?????,4,
???? ?? ??? ??? ??,4,
???? ???? ?? ???? ??,2,
"????-?????? ???? ???, ?? ???? ????? ???? ?? ???? ?? ???? ??",1,
?? ??-??-?? ?? ??? ???? ?? ??? ?? ???? ??,1,
"?? ???? ?? ?? ? ?? ???? ??, ? ??? ???? ??",1,
?? ?? ?????? ???????? ?? ??? ??,1,
???? ??? ?? ????-???? ???? ???? ??,1,
???-??? ????? ?? ?? ???? ??,1,
???? ??? ?? ??????? ???? ???? ???? ??? ??,4,
"?? ???? ????? ??????? ????, ?? ???? ??",4,
???-??? ?? ???? ??? ?? ??? ?? ???? ???? ??,4,
?? ????? ????? ?? ??? ?????,4,
????? ???? ???? ????? ?? ????? ?? ??? ??? ??? ????? ????? ???? ???,1,
???? ???? ??? ??? ????? ????? ?? ?????,3,
?? ????? ???? ??,3,
????? ??? ???? ??,4,
??? ???? ????,4,
????? ?? ???? ??? ??,0,
"?? ???? ????? ????? ?? ?? ????? ???, ??? ???? ? ????",0,
"???? ????, ?????",0,
"???? ???? ??? ???? ?? ??? ??? ? ????, ?? ?? ???? ?? ????? ??? ????",0,
"????? ?? ?????? ??? ?? ???-???????? ???????? ??? ?? ?? ???? ???, ????? ???? ??? ????",4,
"??????? ?? ????? ?????? ????? ??? ??? ???, ?? ????? ?? ?? ????, ?? ??????? ???? ?? ?? ???? ???? ??? ?????? ??? ????? ???? ??",1,
"?? ??? ????? ??, ??? ???, ?? ?? ????? ?? ??? ???",1,
"????? ??? ????? ?????, ????? ???????? ?? ????? ????? ??",1,
?????? ?? ?????? ???? ?? ????? ???? ????? ???? ?? ????? ?????? ????,2,
???? ???? ???? ??? ????,1,
???? ?? ??? ???? ??????? ???? ?? ??? ??? ???,1,
????? ?? ?? ???????? ?? ???,1,
?? ?? ?? ???? ??????? ??? ???,3,
????? ?? ?? ????? ?? ?? ???????,3,
????? ????? ?? ????? ????? ?? ????? ???? ??,4,
??????? ????? ?????? ????? ?? ???,4,
?? ???? ???,2,
???? ?????? ????? ?? ????? ???? ???? ?? ?? ???? ?? ????-???? ?????? ?????? ???? ??,1,
????? ???? ????? ???? ?????,4,
????? ?? ???,4,
????-????? ??? ???? ?? ???? ????????,4,
"????? ????? ??, ?? ???? ??????- ?????????? ?? ?? ?? ??, ???? ?? ???",4,
???? ??????? ?? ???? ?? ??? ??????? ?? ????? ??? ??? ??? ??? ???? ???,4,
"????? ???? ??-?? ????? ??, ???? ? ?? ???",2,
"?? ????? ?? ???? ????? ????? ??, ???? ?? ?? ???? ?? ???? ??, ????? ???? ??? ???? ??? ??? ???????? ?? ???? ????? ??? ??",4,
?????? ?? ?????? ?? ????? ??? ??,4,
?????? ?? ???? ?? ???? ?? ???? ???? ???? ?? ?????? ?? ???? ?? ????? ??? ????? ?? ????,4,
"???, ???????? ?? ??? ?????? ?? ?? ?? ???? ?????",4,
"??? ?? ???????? ???? ??????, ?? ? ????",2,
??? ?? ??? ?? ????? ???? ????? ?????? ?????,2,
??-??? ???? ?? ?? ???? ??????? ?? ? ??,2,
"??????? ?? ????, ?? ?????? ? ????, ????? ?? ???? ?? ?????? ?? ? ?? ????",2,
?? ??? ????? ???? ??????? ?? ???? ?? ????? ???? ??????? ?? ????? ??????? ?? ???? ????,2,
"???? ??? ?? ?????? ???? ??, ?????-???? ?????? ?? ???? ??, ?????? ????? ?? ???? ??, ?????-?????? ????? ?? ?? ??? ??? ?? ?????? ?? ??",4,
"???? ???? ??? ?? ?? ?? ??????, ??????, ???????-???, ????? ???? ??, ??? ????? ??? ???? ??? ?? ????? ?? ??",4,
"?????? ????? ????? ???, ?? ?????, ??? ????? ????? ???, ?? ????",0,
"?????? ?? ???? ??? ??????? ???? ???-??? ???? ?? ??????? ???? ??, ???? ???? ??? ???????? ? ??, ????? ??????? ??????? ?? ????? ???????? ??",0,
??????? ???? ??? ?? ?? ???? ?? ???? ????? ??? ??? ?? ???? ?? ???? ??,4,
????? ??? ????? ?? ????? ?? ? ??,2,
?????? ?? ????? ????? ??????? ???????? ?? ??? ??? ????? ???? ??,4,
2 ???? ?? ??? ??? ?? ??? ???? ??? ??? ??? ???? ??????? ???? ???,4,
"?? ??? ???, ????? ???? ?? ??? ????? ???? ?? ???? ?????? ??",4,
"??? ???? ?? ???? ??? ?? ??? ???? ?????? ??? ??, ???? ???? ????? ???? ????? ?? ??? ??",2,
"???? ?? ?????? ??? ?? ????? ?? ???? ??, ???? ????? ?? ????? ?? ?????? ??",2,
"?? ?? ??????, ????? ?? ??? ??????? ??? ????? ??? ??, ???? ???? ??? ???? ?? ?? ????????? ? ??",2,
"?????? ???? ????, ???????? ???? ??, ??? ?? ????? ? ????? ????",0,
??????? ?? ??-??? ?? ?? ???????? ?????? ???? ?? ?? ?? ??? ?? ??? ???? ?? ????? ????? ??,0,
???? ????? ???? ?? ?? ????? ???? ??,0,
"???? ???? ?? ??? ???? ?????? ????? ?? ????? ?? ???? ?? ???, ?? ??? ?? ?? ??? ???",0,
"????? ? ????, ????? ??? ?? ??? ?????",4,
?????? ???? ?? ???? ??,4,
??? ??? ??? ?? ??? ??? ?? ???? ?????? ???-?? ???? ?? ??? ???? ????? ??,0,
"????-???? ????? ???, ???? ?? ???????? ????? ????, ?????? ??? ??? ???, ????? ?? ??? ???, ???? ??? ????? ??? ???? ?? ???? ???? ???",4,
???? ???? ?? ?? ??? ???? ????? ?? ??????? ?? ????? ?? ??? ???,4,
??? ?? ???-??? ????? ???-??? ??? ???? ???,4,
?? ???? ?? ???? ?????,0,
?????? ?? ???? ???? ?????? ??,0,
???? ????? ??? ????-????? ???? ?? ??? ???? ????,0,
?-???? ???? ??? ??? ??? ??? ???? ???,0,
???? ???? ?????,0,
?? ???? ????-?????? ??? ???? ???? ??,0,
?? ?? ??? ????? ????? ???,0,
???? ?? ???? ??????? ?? ?? ????? ?????,2,
"???? ?? ?????? ??? ???? ????? ???? ??, ?????",0,
?? ?? ???? ?? ???? ?????,0,
?? ???? ???? ?? ??? ???? ???? ??? ? ???,0,
???-?? ?? ??? ???? ???? ??,0,
???? ??? ???? ???? ??,0,
?????? ????? ????,0,
"??????? ????- ??????, ?? ??? ???? ?????? ?? ???? ?? ??",4,
"???- ?????? ????? ????, ?? ???? ?? ?? ????",0,
???? ?? ????? ?? ???? ????? ?? ???? ?? ??? ???? ???,0,
???????- ??? ?? ?????? ?? ???? ??,4,
???- ???? ??? ???? ????,0,
"????? ????, ??????? ??? ??? ??? ?? ?????, ?? ??? ?????? ?? ?? ??????",0,
???????- ?? ??? ?? ?? ???? ????? ?? ???? ???? ?? ????,4,
????? ???? ?? ????? ?????? ?? ??? ??,2,
?? ??? ?? ???? ???,2,
?? ????? ??? ????-???? ???? ??? ??????? ???? ??,2,
"???? ?? ???? ?? ??? ????? ??? ???? ?? ?? ???? ?? ???? ??? ????, ??? ????? ?? ?????, ??? ??? ??",4,
??????? ???? ?? ????? ?? ??? ????? ????,4,
?? ??? ????? ???? ?? ???? ?? ????? ?????,4,
???? ?? ?? ????? ?????? ?? ???? ??????,2,
???? ?? ????? ?? ??? ??? ? ??,2,
?? ???? ??? ?????? ????,2,
"??? ?????? ?? ????? ? ???? ??, ?? ???? ???????? ??? ????? ?????, ?????? ?? ?????? ?? ??? ?? ??????? ????? ??????",2,
???-??? ?? ?????? ?? ????? ???? ????? ????,2,
?? ??? ? ?? ?? ?? ??? ??? ??????-?????? ? ?? ???? ???,4,
??????? ?? ????? ???? ?? ?????? ???? ?? ???? ?? ??? ????? ?? ??????,4,
????? ?? ??? ?? ?? ?????? ?? ???,4,
"???? ??? ????, ???? ??? ????? ??",2,
"???? ????? ??? ???? ?? ????? ??? ??? ?? ?? ??????? ?? ??? ???- ???? ?? ???? ????? ??, ???? ????",4,
????- ?? ????? ?? ????? ?? ????? ?? ?? ??? ????? ???????,2,
???????- ?? ??? ????? ?? ??? ?? ????? ??????,0,
????- ?? ?? ???? ?? ??? ???? ?? ??????? ?? ?????,2,
???????- ??? ?? ??? ?? ??????,2,
????- ??? ?? ?? ?? ???? ?? ?? ??? ? ????,2,
"?? ?? ??? ????-????? ???, ???? ??? ?? ???? ??? ?? ?? ??? ????-????? ???",1,
?????? ????? ??? ??????? ????? ?? ??,1,
"???, ???? ???? ????? ????? ? ????, ?? ????? ??? ??",1,
"???????? ??? ?? ?? ???? ???? ???, ?? ?? ???? ??????? ????? ???",2,
???? ????????? ?? ?? ?????? ?? ??? ?? ??? ???? ????,2,
?? ?? 65 ???? ?? ???? ??? ????? ???? ????? ???,2,
??? ?????? ???? ????? ?? ?? ?? ?????? ?? ????????? ????? ???? ??,2,
??????? ?? ???? ??????? ??? ??? ?? ?? ???? ??????? ?? ????? ???- ??????? ?? ?? ??? ??? ???? ??:? ???? ????,2,
?? ?? ???????? ????? ? ??,2,
????? ?????-???? ??? ???? ??? ??? ???? ????,2,
???? ?? ??? ?? ????? ?? ????? ??? ???- ???? ? ??? ?? ???????? ????? ???? ????,1,
3 ???? ??? ???? ???,4,
???? ?? ?????? ?? ??? ?? ???,4,
"?? ????? ??, ????? ?????",4,
????? ?? ??? ???????? ??? ??? ?? ????? ?? ??? ??????,4,
????? ????? ?? ?? ?????? ???? ???? ??,1,
"????? ???? ?? ???? ??, ????? ???? ??",4,
????? ??? ?? ???? ??,4,
"???? ?? ?????, ???? ????? ???? ?? ???? ??? ?????? ??? ??",4,
???-?? ???? ?? ???-??? ????? ???? ????,4,
???? ?? ??? ??? ???? ?? ???? ?? ?? ?????? ??? ???? ????? ?? ????? ??? ???? ???? ????? ???? ??,4,
?????? ?? ???? ???? ???? ?? ???? ?? ? ??? ??,2,
"?? ??? ?? ????? ??, ?? ??? ? ??",2,
"??? ???? ????? ?? ?????? ?? ?? ?????? ? ??, ??? ???? ???? ??",2,
???? ???? ?????? ?? ?? ?? ???? ????????? ?? ?? ?? ???? ?? ??? ??,2,
"?????-??? ??? ??? ?? ?? ???????? ???? ???? ?? ??????, ??????? ?? ?????????? ?? ??? ?? ????? ?? ??? ??? ??? ???",2,
"?? ???-????? ???, ???? ??? ?? ????? ?? ? ?????? ??, ? ???? ??, ????? ?? ????????? ?? ??? ?? ?????? ??? ??? ??",2,
???? ???? ???? ??? ???,4,
"?? ??? ?? ??? ?? ??? ??, ?? ????? ??? ???? ?? ???",4,
"????? ???? ??? ???, ????? ???? ????",2,
"??? ????? ????, ??? ??? ??? ?? ???? ???",2,
???? ?? ??? ???,2,
???????? ?? ??? ??,4,
"?? ??? ?? ???, ????? ??? ??????",4,
?? ????? ???? ?? ??? ????? ??? ???? ??? ? ??? ??,1,
???? ????? ???? ????? ?-???? ???? ?? ? ??? ?? ?? ????? ?? ??? ?? ? ???,1,
?????? ?? ????? ?? ?? ?? ?????? ?? ????? ??? ??? ??? ??,1,
???? ?? ??? ???-??? ???? ??,1,
???? ???? ?????? ????? ?? ???? ??,4,
"????? ?? ?????? ???? ?? ?????? ????, ??? ?????-?? ?????? ?? ?? ????",4,
?????? ???? ???? ???????? ? ???,4,
???????? ?? ?? ???? ?? ???? ?? ??? ?? ????,4,
???? ????????? ???? ????,4,
?? ???? ?? ???? ?? ?????,4,
?? ?? ?????? ?? ?? ??? ?? ???? ??? ????,4,
????? ?? ?? ????,4,
??? ?? ?? ??? ????? ????? ?? ???-??? ???? ??,4,
??? ??? ??? ?????? ????? ??? ?? ??? ?? ???? ??? ??,4,
?? ??? ???? ?????? ?? ??? ??? ????-???? ???? ???? ???,4,
???? ???? ???? ? ??,4,
?? ???? ??? ???,4,
?????? ???? ???? ??? ?? ?? ?? ?? ???,2,
??? ????,2,
??? ?? ???-??? ?? ?? ?? ???? ???? ???,2,
???? ?? ???,2,
"??? ?? ?????? ?????? ???, ????? ???? ??? ?? ???? ?? ???? ???? ?? ??? ??",2,
????-????? ?? ???,2,
?????? ????-???? ??? ?? ?? ?????,2,
??? ???-?????? ???? ??? ??? ?? ???? ?? ?????? ?? ?? ?? ?? ???? ?? ??? ??,2,
??? ????-??? ???? ???,2,
??????-????? ?????????? ?? ??? ?? ??? ?? ??? ? ??? ??,2,
"????? ?? ?? ??? ?? ??? ???, ????????? ?? ??? ??? ?? ???????? ????, ???????? ?? ??? ????? ??",2,
????? ?????? ?? ??? ??? ? ??? ??,2,
???? ?? ??????? ?? ????????? ??? ??? ??,4,
????? ??? ????? ????? ????-???? ?? ??? ????-???? ????? ??? ?? ??????,2,
???? ?? ??? ?? ?????? ??? ??? ???? ??,4,
?? ?? ???????? ???? ??? ???,4,
????? ?? ?? ????? ?? ????? ????? ????? ???? ??? ?? ????? ?? ????? ?????,4,
??? ????-???? ????? ?? ???? ?? ??? ?? ????? ???-??? ?? ???? ???? ?? ???,2,
?? ??? ?????? ?? ???,2,
"??? ??? ???? ???? ????? ??? ???-??? ??, ???? ?? ??????? ???? ??? ??, ???? ?? ???? ?? ???? ?? ?????? ? ???? ??",2,
???? ?? ???,2,
??-?? ?? ??? ?? ?????? ?? ??? ??,2,
?? ?????? ???? ?? ???? ? ??,2,
"4 ???? ?? ????????? ???? ?? ??? ????? ? ??, ?? ?? ?? ?? ?? ????? ?? ???",2,
????-????? ?? ????? ?? ? ???,2,
"???? ????-?? ????, ? ?????-????? ?? ???? ??, ? ????-???? ??",2,
"??? ? ?? ?? ?????? ??, ? ???? ??",2,
"???? ?????, ???? ???? ?? ????",2,
"?????? ????? ? ?????, ??? ??? ??? ? ?????",2,
????? ?? ???? ??????? ?? ???? ??,2,
?? ??? ? ??? ?? ???? ?? ???? ????? ??,2,
???-??? ??? ????? ???? ?? ?????? ???? ?? ?? ???,2,
???-??:? ?? ???? ????,2,
?? ??? ?? ????? ???? ??,2,
??????? ?? ???? ?? ???? ????-????,2,
????-???? ???? ?? ???? ???,4,
????? ?? ????? ??????? ?? ???-????-??????? ???? ???,4,
????? ?? ?? ?? ??? ?? ??????,4,
"?? ?? ?? ????? ??, ?? ???? ?? ???? ??",4,
??? ???? ??? ????? ???? ? ??,4,
???-????? ???? ???,4,
"???? ?? ???? ?? ???? ??? ???? ????? ??? ?? ???? ???, ???? ?? ??? ???? ?? ???-???? ????? ?????? ????",0,
?????? ???? ?? ?? ??? ?? ???? ??,4,
"????? ?? ????? ???? ??, ????? ?? ?? ??? ????",2,
???? ?????? ?? ???? ????? ?? ???? ????,4,
???? ?? ????? ????? ????? ?? ????,3,
???? ?? ???? ?? ??? ???? ???? ???? ???,3,
????? ??? ??? ?????? ?? ???,3,
???? ?? ??? ??,1,
??????? ??? ????-????? ?? ??? ??,1,
??????? ?? ???? ?? ?? ????? ???? ??? ??,4,
???? ???? ???? ?? ???? ??? ?? ??? ??,2,
????????? ?? ??? ??? ???? ?? ???? ??,2,
?? ????? ???? ?? ?????-????? ????? ???? ???? ?????-?????,2,
??? ? ??? ?? ???? ?? ??? ?? ???? ?? ???????,2,
???? ??????? ?? ??? ???- ???? ???-?? ???? ?? ?????,0,
"??? ????? ?? ??? ????, ???? ?? ???",0,
?? ???? ????? ???? ?? ??? ??? ??,0,
"????- ??? ??? ???? ????? ??? ????, ??????? ???? ???? ????? ???? ??",0,
???????- ???? ?????? ??? ?? ???? ?? ????? ???? ????,0,
???????? ?? ??? ?? ?????? ??? ??,0,
????- ?? ??? ??? ???? ?????,2,
????-???? ??? ?? ?? ??,2,
???????- ???? ??? ?? ?? ???????? ????? ???????? ??,0,
"???? ?? ?????? ?? ??? ?? ????, ???? ???? ??? ???? ????",3,
??? ???? ????? ???? ???,2,
???????- ??? ?? ?? ?????? ?? ???? ?? ???? ????? ???,0,
??? ???????? ???? ??? ?? ???? ???? ?? ?? ???? ?? ???? ??? ?? ???? ???? ??,0,
??? ?? ???????-?? ???? ???? ??? ????,0,
"????- ??? ???-??? ????? ??, ??? ??????? ??? ?? ???? ????",2,
??? ???? ??? ?? ????? ???? ???? ????,2,
???????- ???? ?? ???? ?? ??? ???? ??,0,
"????- ????? ??? ??, ???????? ?? ??? ? ??????",2,
"5 ???? ?? ????, ???? ?????? ???? ????? ?? ????? ?? ??? ???",2,
?? ?? ???? ?? ??? ???? ?? ??? ?? ?? ??? ?????????? ????,2,
?? ???? ??? ??? ???? ???,2,
"??? ???? ????, ??? ??? ??? ???? ??? ?? ????? ?? ????? ??? ???? ?? ?????? ??? ??? ????? ?? ???? ??? ??? ???? ?? ???????? ??????? ?? ????? ??? ???? ??? ?????? ????? ?? ???? ??",2,
??? ????? ?? ??? ? ????? ?? ???? ??????? ?? ????,2,
?????,2,
??? ???? ????,2,
??? ?????? ??? ?????? ?? ???? ?? ???? ??? ?? ??? ??? ?????? ?????? ??? ????,2,
??? ????,4,
"??? ??-?? ?? ???? ????-???????? ????, ????? ?? ????????? ????, ??????? ?? ???????? ????",4,
"???? ?????? ??????? ??? ???? ??, ????? ?????? ??? ????? ??",4,
"???? ???? ?? ??? ???? ?? ????? ?? ??? ????, ???? ?????? ???? ??? ???? ????? ??",4,
???? ??? ???? ?? ???? ??????? ?? ?????,2,
?????? ????? ???? ???? ??,2,
"???, ???? ???? ??? ??? ???? ????",2,
"??????, ???? ?? ????? ??? ???? ?? ??- ??????, ????? ???-?????",2,
???? ????? ?? ???????,2,
"?? ???? ??? ???? ??? ?? ???? ?? ???? ?? ?? ?? ???? ???? ???, ????? ?? ?? ??? ? ???? ?????",2,
"?, ? ???? ??? ????",2,
?? ???? ??????? ?? ??? ???? ?? ????? ????? ?? ???? ??? ?? ???? ????? ?? ???,2,
"? ???????? ?????, ?? ???? ?????? ?? ???? ??????? ??? ??? ???? ??",2,
"?? ???? ??????, ????? ???? ????? ?? ???????? ????? ????, ???? ????? ????? ???",2,
"??? ???? ??? ????? ?? ???? ??, ????? ???? ??? ???? ????? ???? ???, ?? ?? ???? ??? ???? ??? ??, ??? ??? ? ????, ???? ????? ?? ?????? ????",2,
???? ???? ??? ???? ???? ?? ?? ??? ????? ???? ???,4,
??? ??????? ??? ???-?????? ??? ??? ??,1,
"??????? ??? ??? ??? ??? ???? ??, ??? ??????? ????? ??",1,
???? ????? ??? ?? ??? ??? ??? ???? ??? ??,1,
????? ???? ?? ???? ??? ???-????? ?? ???? ?? ??? ??? ???? ??,4,
????? ??? ?? ????? ??? ??????? ?? ???,3,
??-?? ?? ?????? ???? ?? ????,3,
"???? ?? ????, ???? ??? ???? ??? ??, ?? ?? ???",3,
????? ??????? ????? ?? ???,3,
"???? ?????? ??? ???? ?? ??? ?? ???? ??? ???? ?? ????, ???? ??? ??? ?? ??????-?? ???? ???",3,
????? ??? ???? ?? ??? ??,3,
???????? ?? ??? ? ??,3,
???? ?? ???? ???? ?? ???? ??? ?? ?? ??????? ???? ????? ???? ??? ???? ???? ????-???? ????? ?? ??? ??,3,
????? ?? ?????? ?? ????? ?? ???? ?? ?? ??? ??? ??? ??? ??,4,
"?? ?? ????? ??? ?????? ??, ????? ?? ????? ??? ??????",4,
?? ????-???? ???? ?? ???????? ???? ?? ????? ???? ???? ??,4,
???? ?? ???????? ?? ???? ????? ?? ????? ?? ????? ?????? ???? ???? ??,2,
"???? ?? ??? ????? ??? ?? ??? ??? ???? ?? ????? ?? ???? ????? ???, ??? ????????? ?? ?? ?? ??? ???, ????-???? ????? ???",0,
"?? ?????-??? ?? ???? ????? ?? ?? ??? ??, ??? ??? ?? ??? ???? ???? ???",0,
?? ???? ???? ????,0,
??? ?? ?????? ??? ???????? ???????? ? ???? ?? ???? ???,0,
"?? ???? ???? ???? ??? ??? ?? ?? ?? ???? ???? ????? ???- ?? ???-??? ???, ???-??? ???, ???-?????? ??? ?? ?????? ?? ?????? ???? ?? ????",0,
"?????? ???? ?? ?????? ??, ???-??? ??? ???????? ??? ??? ??, ???-??? ??? ?? ??? ??? ??",0,
"???? ????? ??? ????? ?????? ??, ?????? ????, ????? ??????",0,
???? ??? ???? ???? ?? ????? ???,4,
?? ?? ?????? ?? ??? ???? ???? ??? ???? ???? ????,4,
???? ??? ?? ?? ?? ???? ???,2,
??? ?? ???? ??????? ?? ?? ??,2,
?? ???? ?? ????? ?? ??? ???? ?? ???? ????? ?? ????? ???? ?? ???,4,
??????? ?? ????? ??? ?? ????,4,
????? ????? ?? ????? ???? ?? ???? ????????? ????,4,
???? ????? ??? ????? ??? ??? ???,1,
??? ??? ??? ???? ???? ????? ?? ????? ?? ??? ???? ???? ??? ??,1,
??? ???? ????? ?? ?? ?? ??? ???? ?? ??? ???? ?? ????? ???? ????? ???,2,
"???????? ?? ???? ??????????? ?? ???? ??? ??? ??? ???? ?? ????????? ????- ?? ?? ????? ????-???? ??????? ??? ??? ???, ???? ?????",1,
???? ?? ???? ???? ?? ?? ????? ?????? ???- ???? ? ????,1,
"???? ???? ????? ??, ?? ??????? ?????? ??????",1,
"??? ?? ???? ?? ???? ?? ??? ????, ?? ?? ?????? ????? ?? ?? ??? ??",1,
??????? ?? ?????? ???? ???- ??? ?????? ????? ?? ??? ????,1,
?? ????? ?? ???????? ??,1,
???? ??? ???? ?? ???? ????? ?? ??? ?? ??? ???,4,
??????? ???? ??? ?? ???? ?? ???? ??? ?????? ???- ??? ? ???? ?????,1,
???????- ??? ??? ???,4,
????- ???? ?? ???? ?? ???? ??? ??? ? ???,2,
??????? ???? ??? ?? ????? ????? ????- ?? ???-?? ???? ?? ??? ????,4,
???? ??? ??? ??? ??,3,
?? ???? ?? ???? ???? ?? ???? ?? ?,4,
???????? ??? ??? ??? ???,4,
"???????- ???? ?? ?? ????? ???, ????? ???? ???? ???? ????",4,
?????- ???? ????? ?? ???,4,
? ??? ??? ???? ?? ???? ???,4,
??? ??? ????? ?? ?????? ??,4,
"???????- ???? ?? ?? ?? ????? ???? ??, ?? ????? ??????? ????? ??",2,
?? ???? ????? ??? ???? ?? ???? ???? ??? ??,1,
"?????- ???, ???? ?? ???? ????",4,
?? ?? ??? ???? ?? ???? ??? ?? ?????,4,
"???????- ??, ?? ??? ???? ?? ????, ?? ?????? ?? ???? ??",1,
"???? ?? ???? ???? ????????? ?? ????? ????? ? ??? ??, ?? ??? ?? ????? ???",2,
??? ???????? ??? ???? ???? ???? ?? ???? ???? ?? ???? ????????? ?? ???? ???? ??? ??? ?? ???? ???? ?? ????? ???? ???? ???? ????,2,
??? ???? ???? ???? ??? ??? ??? ?? ????,2,
??? ????? ??? ?? ?? ???? ?? ???? ???? ?? ???? ??,1,
???? ????? ???? ??? ?????? ??,1,
?? ???? ???????? ?? ???? ???? ???? ??? ??????? ???? ?? ???? ???? ??? ??? ???,1,
?? ????? ??? ???? ????? ????? ????????? ??? ???? ?? ???? ????? ?????? ?? ???,1,
???? ??? ????? ?? ??? ?? ?? ?? ?????? ?? ???? ?? ?? ???? ???-???? ?????? ?????? ?? ????? ???? ?? ??? ???? ??? ??,1,
"????? ??? ?? ???? ???? ???, ?? ??? ???? ???? ???????? ????? ?? ??? ????, ?? ???? ????",1,
???? ?????? ??? ?????? ?? ???? ??,1,
?????-????? ??? ?????? ????? ?? ????????? ???? ??,4,
?? ???? ?????? ??? ?????? ?? ?????? ?? ?????? ?? ????? ???? ??? ???? ???? ???? ??,4,
"?? ?????? ????? ????? ?? ??? ???? ??????? ?? ??? ?? ?? ?? ???? ???? ?? ?? ??? ?? ????, ?? ??? ????? ??, ??? ???? ???? ?? ???",4,
?? ?????-????? ?? ??? ????????? ???? ???? ?? ??????? ??? ??? ??? ???? ??? ????? ?? ?? ???? ??,4,
"?? ?????? ?????? ??? ???? ????? ????, ????? ???? ?? ???? ??? ??? ??? ?? ???? ??????? ?????? ?? ???? ????? ???? ?? ???? ?? ???? ??",4,
"????? ?? ????? ?? ????? ??? ???? ???-'???? ???????? ??????? ????', ??? ??? ???? ?? ??? ?? ???",4,
?????? ?? ????????? ???? ????? ? ??,2,
"???? ??? ????? ??, ??? ????? ???, ??????? ????-???? ??, ????? ???? ??? ?? ???? ???????? ??? ? ??",2,
"????? ????-'?? ?? ???? ???? ???, ?? ???? ?? ???? ??? ???, ??? ?? ?? ??? ??? ?????? ??",2,
?????? ?????? ?? ???-??? ??????? ?? ???? ?????,2,
"???? ?? ??? ???? ?? ??? ???????? ?? ??? ??????? ??????? ???? ?? ?? ???? ?? ?? ????, ?? ?????? ?? ?????? ???? ??? ?? ????",2,
???? ?????????? ???? ?? ?? ?????????? ??,2,
"?????? ?? ???? ??? ??? ????? ??, ???? ???? ???? ?? ???? ?????? ?????????? ?? ???? ???????? ???????? ???? ?????? ????????? ???, ????? ??? ??? ??? ????? ?? ?????-????? ????????? ?? ?????? ????? ????? ??",2,
